Week,Textbook Range,Topic,Class Content,Learning Objectives,Class Activities,Problem-Solving Plan,Homework / Assignment,Checkpoints
1,Chapter 9.1-9.2,Modeling 3D space: vectors introduction,"Geometric representation of vectors, position vectors, displacement vectors, magnitude, unit vectors, 2D/3D column vector notation, basic vector operations, scalar multiplication, parallel vectors","Students understand vectors as objects with magnitude and direction, not just formulas. Students can distinguish points from vectors, and position vectors from displacement vectors. Students can calculate magnitudes and unit vectors in 2D and 3D.",First 15 minutes: check prerequisite knowledge from Chapters 1-8. Introduce vectors visually using coordinate-space diagrams. Start with accessible numerical examples so students become comfortable with notation.,"Core practice: magnitude, unit vectors, vector addition and subtraction, scalar multiples, and vectors between two points. End class with 2-3 short exam-style questions.","Complete basic problems from 9.1-9.2. For corrections, classify mistakes as notation errors, calculation errors, or conceptual errors.","Check whether students confuse point coordinates with vectors. Confirm that students can convert between column vector notation and i, j, k notation."
2,Chapter 9.3,Scalar product and its properties,"Definition of the dot product, algebraic form, geometric form, angle between vectors, perpendicular condition, projection idea, properties of the scalar product",Students can calculate the dot product and use it to find angles between vectors. Students can apply the condition that perpendicular vectors have dot product zero. Students understand the geometric meaning of the dot product.,"Before memorizing formulas, explain the dot product as the amount of shared direction. Progress from calculation examples to angle questions, then to perpendicularity questions with unknown parameters.","Basic: dot product calculation and angles between vectors. Applied: finding unknown parameters using perpendicularity, deciding whether an angle is acute or obtuse, and simple projection-style questions.",Complete selected basic and intermediate problems from 9.3. Submit corrections for three problems missed in class.,Check calculator degree/radian settings for inverse cosine. Confirm that students can connect the geometric and component forms of the dot product.
3,Chapter 9.4,Vector equation of a line,"Vector equation, parametric equation, Cartesian equation of a line in 3D, direction vectors, points on a line, equation through two points, checking whether a point lies on a line",Students can convert between the three forms of a line equation. Students can form a 3D line equation from given conditions. Students understand the meaning of a parameter.,Compare with 2D lines and emphasize why a single gradient is not enough in 3D. Give repeated conversion practice using the same line in different forms.,Basic: write a line equation from a point and direction vector. Intermediate: two points to direction vector to equation. Applied: point on a line and parallel lines.,"Complete 9.4 basic and conversion problems. Prepare for a short quiz on vector, parametric, and Cartesian forms.",Check whether students handle zero components in Cartesian form correctly. Confirm that students substitute parameter values accurately to find points on a line.
4,Chapter 9.4-9.5,Lines in 3D and vector product,"Relationships between lines, intersecting / parallel / skew lines, definition of the cross product, magnitude and direction of the cross product, perpendicular vectors, area interpretation",Students can determine the relationship between two lines using equations. Students can calculate the cross product and find a vector perpendicular to two given vectors. Students can apply the cross product to parallelogram and triangle areas.,Start slowly with line intersection calculations. Break the process into setting two parameters and solving simultaneous equations. Introduce the cross product through determinant calculation after the line work.,"Basic: cross product calculations and perpendicular vector checks. Intermediate: deciding whether lines intersect or are skew. Applied: triangle area, parallelogram area, and direction vector applications.","Complete mixed 9.4-9.5 problems. Include at least four problems classifying lines as intersecting, parallel, or skew.","Check that students do not assume ""not intersecting"" means ""parallel."" Confirm that students know reversing the cross product order changes the sign."
5,Chapter 9.6-9.8,"Vector equation of a plane; lines, planes and angles","Vector form of a plane, normal vectors, Cartesian equation of a plane, line-plane intersection, angle between lines, angle between a line and a plane, angle between planes, applications of vectors",Students can express planes in vector and Cartesian forms. Students can use normal vectors to solve angle problems. Students can calculate line-plane intersections and relationships between planes.,"Because this week contains many new ideas, organize the lesson around the role of the normal vector instead of listing formulas. Use a fixed procedure for line-plane intersections and repeat it several times.","Basic: form plane equations. Intermediate: line-plane intersection and point on a plane. Applied: angles between lines and planes, angles between planes, and Chapter 9 application problems.",Complete selected Chapter 9 review problems. Create a vector formula summary sheet.,Check whether students confuse sine and cosine in angle problems. Confirm that students can identify the relevant normal vector from context. A full Chapter 9 diagnostic quiz is recommended.
6,Chapter 10.1,Complex numbers: forms of a complex number,"Definition of complex numbers, real and imaginary parts, Argand diagram, modulus, argument, conjugate, Cartesian form, modulus-argument form, polar form, basic idea of Euler notation",Students can interpret complex numbers as points or vectors on a plane. Students can calculate modulus and argument accurately and choose the correct argument for the quadrant. Students can convert between Cartesian and polar forms.,"Connect the Argand diagram to the previous vector chapter. When using a calculator for arguments, require students to check the quadrant using a sketch.","Basic: modulus, argument, conjugate, and Argand plots. Intermediate: Cartesian to polar and polar to Cartesian conversions. Applied: introductory locus-style questions involving complex numbers.",Complete 10.1 practice problems. Redo any argument mistakes with a supporting diagram.,Check the chosen argument range. Confirm that students can explain the relationship between conjugates and modulus.
7,Chapter 10.2-10.3,"Operations, powers and roots in polar form","Geometric meaning of multiplication and division of complex numbers, operations in polar form, De Moivre's theorem, powers of complex numbers, roots of complex numbers, placement of roots on an Argand diagram",Students understand multiplication of complex numbers as scaling and rotation. Students can apply De Moivre's theorem to powers and roots. Students can find all nth roots and represent them on an Argand diagram.,"Before formula practice, explain multiplication as rotation plus scaling. For roots problems, give a standard solution template so students do not miss values of k.","Basic: multiplication and division in polar form. Intermediate: powers using De Moivre's theorem. Applied: cube roots, fourth roots, geometric arrangement of roots, and Chapter 10 review.",Complete Chapter 10 review problems. Include at least three roots problems and plot the roots on an Argand diagram.,Check that students find the correct number of roots. Confirm that students handle arguments using the 2π cycle. A short Chapter 10 quiz is recommended.
8,Chapter 11.1,Axiomatic probability systems,"Basic probability axioms, sample spaces, events, complements, unions and intersections, mutually exclusive events, independent events, conditional probability, tree diagrams and Venn diagrams",Students can use probability language accurately and distinguish relationships between events. Students can calculate conditional probability and avoid confusing independence with mutual exclusivity.,Assume this is a first introduction and introduce notation slowly. Give frequent practice translating worded situations into event notation.,"Basic: set notation, complements, unions, and intersections. Intermediate: conditional probability and checking independence. Applied: combined Venn diagram and tree diagram questions.",Complete 11.1 basic and intermediate problems. Finish a mini worksheet on probability notation.,Check whether students distinguish independent events from mutually exclusive events. Confirm that students do not swap P(A|B) and P(B|A).
9,Chapter 11.2-11.3,Probability distributions and continuous random variables,"Discrete random variables, probability distribution tables, expected value, variance, standard deviation, continuous random variables, probability density functions, area under a curve, introductory CDF idea",Students can calculate mean and variance from probability distribution tables. Students understand that probability is area for continuous random variables and can use integration with probability density functions.,Connect continuous probability to the integration skills from Chapter 8. Compare discrete and continuous random variables using a table.,"Basic: complete distribution tables, calculate E(X), Var(X), and standard deviation. Intermediate: find constants in PDFs and interval probabilities. Applied: CDF-style questions and conditional continuous probability.",Complete 11.2-11.3 practice problems. Review PDF problems that require integration separately.,Check whether students understand that P(X=a)=0 for continuous variables. Confirm correct use of Var(X)=E(X^2)-[E(X)]^2.
10,Chapter 11.4,Binomial distribution,"Binomial setting, Bernoulli trials, parameters n and p, probability formula, cumulative probability, calculator use, mean and variance of a binomial distribution",Students can decide whether a situation follows a binomial distribution. Students can calculate exact and cumulative probabilities. Students can interpret the mean and variance of a binomial distribution.,First create a checklist for the binomial conditions and apply it to every question. Then combine formula work with calculator methods.,"Basic: X~B(n,p) notation and P(X=r). Intermediate: P(X≤r), P(X≥r), at least / at most interpretation. Applied: finding unknown p or n from probability information.","Complete 11.4 practice problems. Make a short phrase guide for at least, at most, more than, fewer than, and exactly.",Check whether students use complements effectively for cumulative probabilities. Confirm that they check the binomial conditions before calculating.
11,Chapter 11.5,The normal distribution,"Shape of the normal distribution, mean and standard deviation, standardization, z-scores, calculator normal CDF and inverse normal, modelling interpretation",Students can interpret normal distribution graphs and find probabilities over intervals. Students can use inverse normal to find boundary values. Students understand how changing the mean and standard deviation affects the graph.,Draw the graph and shade the required area before using a calculator. Emphasize that inverse normal goes from probability to x-value.,"Basic: P(a<X<b), P(X>a), and P(X<b). Intermediate: inverse normal. Applied: unknown mean or standard deviation and context-based modelling. Include selected Chapter 11 review problems.",Complete 11.5 practice problems and selected Chapter 11 review questions. Write a calculator procedure sheet for normal distribution questions.,Check whether students enter the correct tail probability. Confirm correct use of the standardization formula. A Chapter 11 diagnostic quiz is recommended.
12,Chapter 12 + Chapters 9-11 review,Exploration and final consolidation,"Introduction to the Exploration, purpose and assessment focus of the IA-style task, features of a strong research question, mathematical modelling and inquiry process, full review of Chapters 9-11, mixed exam-style practice","Students understand that the Exploration is a mathematical inquiry, not just a written report. Students can generate possible Exploration topics from the chapters studied. Students can solve mixed problems from vectors, complex numbers, and probability distributions.","First half: Exploration structure and topic brainstorming. Second half: mixed review across vectors, complex numbers, and probability. End with individual weakness feedback.","Mixed practice: vector line or plane problem, complex roots problem, probability distribution problem, and normal or binomial distribution problem. A short cumulative quiz or mini mock is recommended.","Submit two personal Exploration ideas: topic, draft research question, and mathematical concepts to be used. Provide a mixed review set for post-course study.",Create an individual weakness list for each student. Share a Chapters 9-11 mastery checklist so regular classes can continue from the summer course smoothly.
